PMID,Title,Authors,Journal,Year,Journal_Year,Abstract
35083858,Cognitive and functional progression and short-term prognosis of Alzheimer's disease in Singapore.,Vanessa Hui En Chen; Simon Kang-Seng Ting,Singapore medical journal,2022,2025,No abstract available
35777535,Androgens Regulate Tau Phosphorylation Through Phosphatidylinositol 3-Kinase-Protein Kinase B-Glycogen Synthase Kinase 3β Signaling.,Mingzhong Yao; Emily R Rosario; Jenna Carroll Soper; Christian J Pike,Neuroscience,2022,2025,"Age-related testosterone depletion in men is a risk factor for Alzheimer's disease (AD). How testosterone modulates AD risk remains to be fully elucidated, although regulation of tau phosphorylation has been suggested as a contributing protective action. To investigate the relationship between testosterone and tau phosphorylation, we first evaluated the effect of androgen status on tau phosphorylation in 3xTg-AD mice. Depletion of endogenous androgens via gonadectomy resulted in increased tau phosphorylation that was prevented by acute testosterone treatment. Parallel alterations in the phosphorylation of both glycogen synthase kinase 3β (GSK3β) and protein kinase B (Akt) suggest possible components of the underlying signaling pathway. To further explore mechanism, primary cultured neurons were treated with a physiological concentration of testosterone or its active metabolite dihydrotestosterone (DHT). Results showed that testosterone and DHT induced significant decreases in phosphorylated tau and significant increases in phosphorylation of Akt and GSK3β. Pharmacological inhibition of phosphatidylinositol 3-kinase (PI3K) effectively inhibited androgen-induced increases in Akt and GSK3β phosphorylation, and decreases in tau phosphorylation. In addition, androgen receptor (AR) knock-down by small interfering RNA prevented androgen-induced changes in the phosphorylation of Akt, GSK3β and tau, suggesting an AR-dependent mechanism. Additional experiments demonstrated androgen-induced changes in Akt, GSK3β and tau phosphorylation in AR-expressing PC12 cells but not in AR-negative PC12 cells. Together, these results suggest an AR-dependent pathway involving PI3K-Akt-GSK3β signaling through which androgens can reduce tau phosphorylation. These findings identify an additional protective mechanism of androgens that can improve neural health and inhibit development of AD."
40046004,Assessing the role of vascular risk factors in dementia: Mendelian randomization meta-analysis and comparison with observational estimates.,Liam Lee; Rosie Walker; William Whiteley,F1000Research,2022,2022,"Although observational studies demonstrate that higher levels of vascular risk factors are associated with an increased risk of dementia, these associations might be explained by confounding or other biases. Mendelian randomization (MR) uses genetic instruments to test causal relationships in observational data. We sought to determine if genetically predicted modifiable risk factors (type 2 diabetes mellitus, low density lipoprotein cholesterol, high density lipoprotein cholesterol, total cholesterol, triglycerides, systolic blood pressure, diastolic blood pressure, body mass index, and circulating glucose) are associated with dementia by meta-analysing published MR studies. Secondary objectives were to identify heterogeneity in effect estimates across primary MR studies and to compare meta-analysis results with observational studies. MR studies were identified by systematic search of Web of Science, OVID and Scopus. We selected primary MR studies investigating the modifiable risk factors of interest. Only one study from each cohort per risk factor was included. A quality assessment tool was developed to primarily assess the three assumptions of MR for each MR study. Data were extracted on study characteristics, exposure and outcome, effect estimates per unit increase, and measures of variation. Effect estimates were pooled to generate an overall estimate, I <sup>2</sup> and Cochrane Q values using fixed-effect model. We screened 5211 studies and included 12 primary MR studies after applying inclusion and exclusion criteria. Higher genetically predicted body mass index was associated with a higher odds of dementia (OR 1.03 [1.01, 1.05] per 5 kg/m <sup>2</sup> increase, one study, p=0.00285). Fewer hypothesized vascular risk factors were supported by estimates from MR studies than estimates from meta-analyses of observational studies. Genetically predicted body mass index was associated with an increase in risk of dementia."
36583247,Clinical value of the Montreal Cognitive Assessment free recall condition alone versus cued recall and recognition conditions to detect true memory impairment.,Liselotte De Wit; Felicia C Goldstein; David W Loring,Applied neuropsychology. Adult,2022,2025,"The Montreal Cognitive Assessment (MoCA) is widely used as a screener to characterize cognition. Although only the delayed free recall condition is required for administration, performance on the optional cued recall and multiple-choice recognition conditions may improve diagnostic accuracy over free recall alone. Data on 719 individuals with MCI and 601 controls were obtained from the Alzheimer's Disease Neuroimaging Initiative (ADNI) database. The Rey Auditory Verbal Learning Test (AVLT) delayed free recall condition was used as the gold standard of memory status. Participants with <i>T</i>-scores ≤30 (≤2 <i>SD</i>s below the mean) were classified as memory ""impaired."" Binary logistic regressions assessed if combined MoCA cued recall/recognition predicted impaired delayed recall on the AVLT beyond the contribution of MoCA free recall. Results showed that MoCA free recall predicted AVLT delayed recall, and that the addition of combined MoCA cued recall/recognition improved the ability to detect impaired AVLT recall, with a better overall model fit. The combined MoCA cued recall/recognition score also had higher specificity and likelihood ratios in detecting memory impairment than MoCA free recall, while higher sensitivity values were present for free recall. Thus, the additional administration of the MoCA cued recall and recognition is recommended."
36272532,Barcelona scale for buccophonatory apraxia: Quantitative assessment tool.,N Montagut; S Borrego-Écija; J Herrero; A Lladó; M Balasa; E Muñoz; F Valldeoriola; R Sánchez-Valle,Neurologia,2022,2025,"Currently there is no tool to quantify buccophonatory apraxia to stratify, compare and monitor patients longitudinally in an objective manner. Our aim in this study is to create a quantitative scale for buccophonatory apraxia and evaluate it in patients with the non-fluent/grammatical variant of primary progressive aphasia (nfvPPA) and other neurodegenerative diseases that occur with speech and/or language problems. The scale was designed based on useful elements in the assessment of buccophonatory apraxia and the total was quantified in seconds. The scale was administered to 64 participants with diagnoses of: nfvPPA, semantic variant of primary progressive aphasia (svPPA), logopenic variant of primary progressive aphasia (lvPPA), Huntington's disease, Parkinson's disease, as well as a group of healthy controls. Patients showed a significantly higher score compared to controls. The nfvPPA group had the highest mean score on the scale (429 seconds ± 278). The scale was useful to differentiate vnfPPA from svPPA and Parkinson's disease (area under curve [AUC] of 0.956 and 0.989, respectively), but less to differentiate it from Huntington's disease (AUC = 0.67) and lvPPA. There was a statistically significant relationship between total score and disease severity in nfvPPA (P < .029). The Barcelona scale for buccophonatory apraxia could be useful to quantitatively evaluate buccophonatory apraxia in different neurodegenerative diseases, and compare patients, especially in nfvPPA."
36150998,A Study on Voice Measures in Patients With Alzheimer's Disease.,Noé Xiu; Béatrice Vaxelaire; Lanlan Li; Zhenhua Ling; Xiaoya Xu; Linming Huang; Bo Sun; Lin Huang; Rudolph Sock,Journal of voice : official journal of the Voice Foundation,2022,2025,"As Alzheimer's disease (AD) might provoke certain nerve disorders, patients with AD can acquire sensorimotor adaptation problems, and thus the acoustic characteristics of the speech they produce may differ from those of healthy subjects. This study aimed to (1) extract acoustic characteristics (relating to articulatory gestures) potentially useful for detecting AD and (2) examine whether these characteristics could help identify AD patients. A total of 50 individuals participated in the study, including the AD group (17 cases), the Neurologically Healthy (NH) group (13 cases), the Mild Cognitive Impairment (MCI) group (11 cases), and the Vascular Cognitive Impairment (VCI) group (9 cases). Voice samples involving three vowels (/i/, /a/, and /u/) and six consonants (/p/, /pʰ/, /t/, /tʰ/, /k/, and /kʰ/) were collected using a digital recorder (TASCAM DR40X). Microphone-to-mouth distance was maintained at 30 cm. Acoustic measures included F0, jitter, shimmer, HNR, F1, F2, F3, and VOT. One-way ANOVA tests were carried out to compare the acoustic measures among the four groups. F3 of vowel /u/, F2 bandwidth of vowel /a/, VOT of consonant /t/, and male participants' F0 of three vowels (/a/, /i/, and /u/) were found significantly different, while no significant differences were found in the other measures. Some acoustic characteristics can indeed help detect AD patients."
35347731,Mass spectrometric studies of the variety of beta-amyloid proteoforms in Alzheimer's disease.,Natalia V Zakharova; Alexey S Kononikhin; Maria I Indeykina; Anna E Bugrova; Polina Strelnikova; Stanislav Pekov; Sergey A Kozin; Igor A Popov; Vladimir Mitkevich; Alexander A Makarov; Evgeny N Nikolaev,Mass spectrometry reviews,2022,2025,"This review covers the results of the application of mass spectrometric (MS) techniques to study the diversity of beta-amyloid (Aβ) peptides in human samples. Since Aβ is an important hallmark of Alzheimer's disease (AD), which is a socially significant neurodegenerative disorder of the elderly worldwide, analysis of its endogenous variations is of particular importance for elucidating the pathogenesis of AD, predicting increased risks of the disease onset, and developing effective therapy. MS approaches have no alternative for the study of complex samples, including a wide variety of Aβ proteoforms, differing in length and modifications. Approaches based on matrix-assisted laser desorption/ionization time-of-flight and liquid chromatography with electrospray ionization tandem MS are most common in Aβ studies. However, Aβ forms with isomerized and/or racemized Asp and Ser residues require the use of special methods for separation and extra sensitive and selective methods for detection. Overall, this review summarizes current knowledge of Aβ species found in human brain, cerebrospinal fluid, and blood plasma; focuses on application of different MS approaches for Aβ studies; and considers the potential of MS techniques for further studies of Aβ-peptides."
36208039,Neuroprotective role of coconut oil for the prevention and treatment of Parkinson's disease: potential mechanisms of action.,Deepika N P; Mohammed Shameer Kondengadan; Sherouk Hussein Sweilam; Md Habibur Rahman; K M Muhasina; Puja Ghosh; Divya Bhargavi; Divya Jyothi Palati; Fathi Maiz; B Duraiswamy,Biotechnology & genetic engineering reviews,2022,2024,"Neurodegenerative disease (ND) is a clinical condition in which neurons degenerate with a consequent loss of functions in the affected brain region. Parkinson's disease (PD) is the second most progressive ND after Alzheimer's disease (AD), which affects the motor system and is characterized by the loss of dopaminergic neurons from the nigrostriatal pathway in the midbrain, leading to bradykinesia, rigidity, resting tremor, postural instability and non-motor symptoms such as cognitive declines, psychiatric disturbances, autonomic failures, sleep difficulties, and pain syndrome. Coconut oil (CO) is an edible oil obtained from the meat of <i>Cocos nucifera</i> fruit that belongs to the palm family and contains 92% saturated fatty acids. CO has been shown to mediate oxidative stress, neuroinflammation, mitochondrial dysfunction, apoptosis and excitotoxicity-induced effects in PD in various <i>in vitro</i> and <i>in vivo</i> models as a multi-target bioagent. CO intake through diet has also been linked to a decreased incidence of PD in people. During digestion, CO is broken down into smaller molecules, like ketone bodies (KBs). The KBs then penetrate the blood-brain barrier (BBB) and are used as a source of energy its ability to cross BBB made this an important class of natural remedies for the treatment of ND. The current review describes the probable neuroprotective potential pathways of CO in PD, either prophylactic or therapeutic. In addition, we briefly addressed the important pathogenic pathways that might be considered to investigate the possible use of CO in neurodegeneration such as AD and PD."
35243895,The Role of AMP-activated Protein Kinase in Oxytosis/Ferroptosis: Protector or Potentiator?,Antonio Currais; Devin Kepchia; Zhibin Liang; Pamela Maher,Antioxidants & redox signaling,2022,2024,"<b><i>Significance:</i></b> Evidence for a role for the oxytosis/ferroptosis regulated cell death pathway in aging and neurodegenerative diseases has been growing over the past few years. Because of this, there is an increasing necessity to identify endogenous signaling pathways that can be modulated to protect cells from this form of cell death. <b><i>Recent Advances:</i></b> Recently, several studies have identified a protective role for the AMP-activated protein kinase (AMPK)/acetyl CoA carboxylase 1 (ACC1) pathway in oxytosis/ferroptosis. However, there are also a number of studies suggesting that this pathway contributes to cell death initiated by various inducers of oxytosis/ferroptosis. <b><i>Critical Issues:</i></b> The goals of this review are to provide an overview and analysis of the published studies and highlight specific areas where more research is needed. <b><i>Future Directions:</i></b> Much remains to be learned about AMPK signaling in oxytosis/ferroptosis, especially the conditions where it is protective. Furthermore, the role of AMPK signaling in the brain and especially the aging brain needs further investigation."
36332080,Validity and reliability of the Turkish version of the ALBA screening instrument for Lewy body dementia in older adults.,Derya Kaya; Besra Hazal Yesil Gurel; Burcu Akpinar Soylemez; Fatma Sena Dost; Ozge Dokuzlar; Feyza Mutlay; Esra Ates Bulut; Kadriye Petek; Angel Bernardo Golimstok; Ahmet Turan Isik,Applied neuropsychology. Adult,2022,2024,"ALBA screening instrument (ASI) has been demonstrated to be an effective, cheap, and noninvasive clinical instrument to screen for Lewy body dementia (LBD). We aimed to determine the validity and reliability of the Turkish version of ASI (ASI-T) in patients with LBD and to investigate the discriminative power of the test in patients with Alzheimer's Disease (AD), LBD, and cognitively healthy older adults (controls). 172 older adults over 60 years of age (43 with LBD, 41 AD, and 88 controls) were included. The sensitivity and specificity of the instrument were determined. A significant difference was found in ASI-T total score between people with LBD versus the controls (t=-9.259; <i>p</i> < 0.001), and versus patients with AD (<i>t</i> = 3.490; <i>p</i> = 0.001). Internal consistency of the ASI-T was good(Cronbach's alpha = 0.81). The cutoff score of 7 showed sensitivity (86%) and specificity (81%) (AUC= 0.888,CI0.95, <i>p</i> < 0.001) compared to controls. Also, compared to AD, it showed sensitivity (86%) and specificity(70%) (AUC = 0.590,CI .95, <i>p</i> < 0.001). Moreover, ASI-T demonstrated a significant concurrent validity with MMSE (<i>r</i> = -0.62; <i>p</i> < 0.001) and MoCA (<i>r</i> = -0.54; <i>p</i> = 0.003). In factor analysis, the five subscales accounted for 60% of the total variance. Our findings suggested that the ASI-T is a reliable, valid, and effective instrument for screening LBD. With acceptable psychometric properties, it has the power to distinguish patients with LBD from controls or those with AD."
