PMID,Title,Authors,Journal,Year,Journal_Year,Abstract
35817592,Clinical characteristics of patients with dizziness/vertigo showing a dissociation between caloric and video head impulse test results.,Xiang Li; Xia Ling; Zheyuan Li; Ning Song; Xiahong Ba; Bo Yang; Xu Yang; Rubo Sui,"Ear, nose, & throat journal",2022,2025,"ObjectiveTo explore the clinical characteristics of patients with dizziness/vertigo who showed a dissociation between the results of the caloric test and video head impulse test (vHIT).MethodsA total of 327 patients who complained of dizziness/vertigo were continuously included. All patients underwent both the horizontal vHIT (h-vHIT) and caloric tests. Of the 327 patients, 69 patients showed a dissociation between the results of the two tests, 4 patients were excluded because the interval between the two tests exceeded 7 days. Finally, 65 patients were included in the analysis.ResultsAmong the 65 patients, 55 (84.6%) patients showed a positive caloric test (+) with a negative h-vHIT (-), and 10 (15.4%) patients showed a negative caloric test (-) with a positive h-vHIT (+). Peripheral and central lesions were identified in 50 (90.9%) and 5 (9.1%) patients, respectively, in the caloric test (+)/h-vHIT (-) group; and central lesions were found in 6 (60%) patients in caloric test (-)/h-vHIT (+) group. The etiologies were unilateral peripheral vestibular dysfunction (n = 25), Meniere's disease (MD, n = 10), sudden hearing loss with vertigo (SHLV, n = 7), benign paroxysmal positional vertigo (n = 5), vestibular neuritis (n = 2), autoimmune inner ear disease (n = 1), vestibular migraine (VM, n = 3), multiple sclerosis (n = 1), and multiple system atrophy (n = 1) in the caloric test (+)/h-vHIT (-) group, which were SHLV (n = 3), MD (n = 1), VM (n = 1), episodic ataxia type 2 (n = 1), cerebellopontine angle tumor (N = 1), Parkinson's disease (n = 1), Persistent postural perceptual dizziness (n = 1), and posterior circulation ischemia (n = 1) in the caloric test (-)/h-vHIT (+) group.ConclusionDissociation between the results of caloric test and h-vHIT is not uncommon. A positive caloric test with a negative h-vHIT occurred more frequently, and these patients mostly had peripheral vestibular lesions; while a negative caloric test with a positive h-vHIT was unusual, these patients had both peripheral and central lesions."
35698811,Apigenin alleviates neuroinflammation in a mouse model of Parkinson's disease.,Gul Fatma Yarim; Filiz Kazak; Murat Yarim; Mahmut Sozmen; Bugra Genc; Ali Ertekin; Ayris Gokceoglu,The International journal of neuroscience,2022,2025,"The aim of this study is to evaluate the effect of apigenin on inflammatory response in brain tissue in Parkinson's mouse model. Parkinson's disease model was induced by 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP). Sixty 8-10-weeks-old male C57BL/6 mice were randomly divided into four groups control, Parkinson, prophylaxis, and treatment. Control (0.9% NaCl 0.5 ml, 10 days, i.p.), Parkinson (25 mg/kg MPTP, 5 days, i.p.), prophylaxis (50 mg/kg apigenin, 5 days + 25 mg/kg MPTP, 5 days, i.p.), and treatment (25 mg/kg MPTP, 5 days + 50 mg/kg apigenin, 5 days). The expressions and protein levels of tumor necrosis factor-alpha (TNF-α), interleukin-1-beta (IL-1β), IL-6, IL-10, and transforming growth factor-beta (TGF-β) were determined using immunohistochemistry and enzyme-linked immunosorbent analysis. Apigenin administration attenuated MPTP-induced histopathological changes in brain tissue. Furthermore, apigenin reversed the changes in expressions and concentrations of TNF-α, IL-1β, IL-6, IL-10, and TGF-β. This study suggests that apigenin could be used as a neuroprotective option to attenuate neuroinflammation in Parkinson's disease."
36106864,"Dropped head syndrome in a patient with Parkinson's disease and inflammatory myopathy, treated with sternocleidomastoid release and circumferential cervical fusion.",Yingda Li; Gregory Basil; Steven Vanni,British journal of neurosurgery,2022,2025,"Dropped head syndrome (DHS) is a recently recognised cause of cervical spinal deformity and disability. The combination of Parkinson's disease (PD) and inflammatory myopathy in the genesis of DHS has not been previously reported. Furthermore, the optimal surgical treatment of progressive DHS remains undefined. We report the case of a 64-year-old patient with severe DHS and coronal plane deformity secondary to underlying PD, precipitated by a focal paraspinal myositis, successfully corrected using asymmetric sternocleidomastoid (SCM) release and circumferential cervical fusion. The nuances of decision-making in this challenging patient population are highlighted, including the benefits of intraoperative traction, anterior column reconstruction and bicortical screw fixation. Postoperatively, significant reductions in pain and disability were achieved, along with restoration of cervical lordosis (CL), C2-7 sagittal vertical axis (CSVA) and chin-brow vertical angle (CBVA). Circumferential cervical fusion with concomitant SCM release is a useful option in the treatment of recalcitrant DHS with biplanar deformity, addressing the unique biomechanical and endocrinological challenges posed by patients with underlying PD."
36412487,Which motor-cognitive abilities underlie the digital Trail-Making Test? Decomposing various test scores to detect cognitive impairment in Parkinson's disease-Pilot study.,Soo-Yong Park; Nadja Schott,Applied neuropsychology. Adult,2022,2025,"Since Parkinson's disease (PD) is a heterogeneous disorder with symptoms, such as tremors, gait and speech disturbances, or memory loss, individualized diagnostics are needed to optimize treatment. In their current form, the typical paper-pencil methods traditionally used to track disease progression are too coarse to capture the subtleties of clinical phenomena. For this reason, digital biomarkers that capture, for example, motor function, cognition, and behavior using apps, wearables, and tracking systems are becoming increasingly established. However, given the high prevalence of cognitive impairment in PD, digital cognitive biomarkers to predict mental progression are important in clinical practice. This pilot study aimed to identify those components of our digital version of the TMT (dTMT) that allow discrimination between PD patients with and without cognitive deficits. A total of 30 healthy control (age 66.3 ± 8.61) and 30 participants with PD (age 68.3 ± 9.66) performed the dTMT using a touch-sensitive tablet to capture enhanced performance metrics, such as the speed between and inside circles. The decomposition of cognitive abilities based on integrating additional variables in the dTMT revealed that the Parkinson's disease group was significantly more sensitive to parameters of inhibitory control. In contrast, the mild cognitive impairment group was sensitive to parameters of cognitive flexibility and working memory. The dTMT allows objective, ecologically valid, and long-term cognitive and fine-motor performance tracking, suggesting its potential as a digital biomarker in neurodegenerative disorders."
36409466,From pleasure to punding: Distinct patterns of anhedonia and impulsivity linked to motivational disturbances in Parkinson disease.,Bonnie M Scott; Robert S Eisinger; Amtul-Noor Rana; Jared F Benge; Robin C Hilsabeck; Michael S Okun; Aysegul Gunduz; Dawn Bowers,Applied neuropsychology. Adult,2022,2025,"Apathy and impulse control disorders (ICD) are common comorbid motivational syndromes in Parkinson disease (PD). This study aimed to determine if patients with these motivational disturbances exhibit different patterns of anhedonia and trait impulsivity. Sixty-four non-demented patients with PD completed questionnaires assessing apathy and ICD symptoms, which were used to classify participants into one of the following groups: apathy only, ICD only, both, and neither. Participants also completed multidimensional measures of anhedonia and trait impulsivity, which were compared across groups defined by motivational status. Individuals with both apathy and ICD had significantly greater symptoms of positive and negative urgency than all other groups and had significantly greater consummatory anhedonia and lack of premeditation and perseverance than those with ICD only and neither. Patients with apathy only also reported significantly greater anticipatory anhedonia than those with ICD only and the neither group. There were no significant between-group differences in sensation seeking. Distinct patterns of impulsivity and anhedonia characterize unique behavioral phenotypes of motivational disturbances in PD and may reflect important differences in the underlying neurobiological mechanisms. Clinicians should be aware that motivational disturbances may be more severe in cases where apathy co-occurs with one or more ICD."
36272532,Barcelona scale for buccophonatory apraxia: Quantitative assessment tool.,N Montagut; S Borrego-Écija; J Herrero; A Lladó; M Balasa; E Muñoz; F Valldeoriola; R Sánchez-Valle,Neurologia,2022,2025,"Currently there is no tool to quantify buccophonatory apraxia to stratify, compare and monitor patients longitudinally in an objective manner. Our aim in this study is to create a quantitative scale for buccophonatory apraxia and evaluate it in patients with the non-fluent/grammatical variant of primary progressive aphasia (nfvPPA) and other neurodegenerative diseases that occur with speech and/or language problems. The scale was designed based on useful elements in the assessment of buccophonatory apraxia and the total was quantified in seconds. The scale was administered to 64 participants with diagnoses of: nfvPPA, semantic variant of primary progressive aphasia (svPPA), logopenic variant of primary progressive aphasia (lvPPA), Huntington's disease, Parkinson's disease, as well as a group of healthy controls. Patients showed a significantly higher score compared to controls. The nfvPPA group had the highest mean score on the scale (429 seconds ± 278). The scale was useful to differentiate vnfPPA from svPPA and Parkinson's disease (area under curve [AUC] of 0.956 and 0.989, respectively), but less to differentiate it from Huntington's disease (AUC = 0.67) and lvPPA. There was a statistically significant relationship between total score and disease severity in nfvPPA (P < .029). The Barcelona scale for buccophonatory apraxia could be useful to quantitatively evaluate buccophonatory apraxia in different neurodegenerative diseases, and compare patients, especially in nfvPPA."
35943279,Assessing and Building Clinical Competence in Occupational Therapists Treating Patients with Neurodegenerative Disease: A Community of Practice Study.,Scott G Rushanan; Dawn M Nilsen; Lenin Grajo; Kevin Caroll,Occupational therapy in health care,2022,2025,"Communities of practice (CoPs) can be an effective means by which to efficiently build skills, knowledge, and competence for occupational therapists. The objective of this study was to assess changes in clinical competence for occupational therapists treating patients with neurodegenerative diseases (NDD) after participating in a CoP. A cohort of home health occupational therapists was recruited to participate in a seven-week CoP focused on treating patients with NDD. A single group pretest posttest mixed methods design was used to measure changes in clinical competence of the participants through a validated self-report assessment tool and a qualitative analysis of treatment summaries. Thirteen occupational therapists participated in the study. There were significant changes in pretest and post-test knowledge, beliefs, and action scores, indicating a positive change in the participants' competence to treat patients with NDD. Qualitative findings support positive changes in clinical competence through increased knowledge, confidence, and use of interventions aimed at optimizing occupational performance for this population. In summary, the CoP was an effective method for building clinical competence for treating patients with NDD with this cohort of occupational therapists."
36208039,Neuroprotective role of coconut oil for the prevention and treatment of Parkinson's disease: potential mechanisms of action.,Deepika N P; Mohammed Shameer Kondengadan; Sherouk Hussein Sweilam; Md Habibur Rahman; K M Muhasina; Puja Ghosh; Divya Bhargavi; Divya Jyothi Palati; Fathi Maiz; B Duraiswamy,Biotechnology & genetic engineering reviews,2022,2024,"Neurodegenerative disease (ND) is a clinical condition in which neurons degenerate with a consequent loss of functions in the affected brain region. Parkinson's disease (PD) is the second most progressive ND after Alzheimer's disease (AD), which affects the motor system and is characterized by the loss of dopaminergic neurons from the nigrostriatal pathway in the midbrain, leading to bradykinesia, rigidity, resting tremor, postural instability and non-motor symptoms such as cognitive declines, psychiatric disturbances, autonomic failures, sleep difficulties, and pain syndrome. Coconut oil (CO) is an edible oil obtained from the meat of <i>Cocos nucifera</i> fruit that belongs to the palm family and contains 92% saturated fatty acids. CO has been shown to mediate oxidative stress, neuroinflammation, mitochondrial dysfunction, apoptosis and excitotoxicity-induced effects in PD in various <i>in vitro</i> and <i>in vivo</i> models as a multi-target bioagent. CO intake through diet has also been linked to a decreased incidence of PD in people. During digestion, CO is broken down into smaller molecules, like ketone bodies (KBs). The KBs then penetrate the blood-brain barrier (BBB) and are used as a source of energy its ability to cross BBB made this an important class of natural remedies for the treatment of ND. The current review describes the probable neuroprotective potential pathways of CO in PD, either prophylactic or therapeutic. In addition, we briefly addressed the important pathogenic pathways that might be considered to investigate the possible use of CO in neurodegeneration such as AD and PD."
35676101,Effects of Resonance Tube Voice Therapy on Parkinson's Disease: Clinical Trial.,Ana Paula Dos Santos; Michelle Shevon Troche; Giédre Berretin-Felix; Fabio Augusto Barbieri; Alcione Ghedini Brasolotto; Kelly Cristina Alves Silverio,Journal of voice : official journal of the Voice Foundation,2022,2024,"To verify the effect of resonance tube voice therapy on the vocal aspects of patients with Parkinson's Disease (PD). Intra-subject comparative controlled clinical trial with a single group assignment. Fourteen individuals with PD (10 men, mean age 66.1 years; four women, mean age 73.75 years) received eight 45-minute sessions of voice therapy, twice a week for 4 weeks. The therapy consisted of semi-occluded vocal tract exercises - phonation method in a resonance tube (glass, 27 cm x 9 mm) in water. Tube depth in water ranged from 2 cm to 9 cm, as the difficulty in carrying out the exercises increased (usual pitch, high pitch, low pitch, ascending/descending glissandos), followed by sentence production. The assessments were made three times: at baseline (Time0), after 30 days without intervention (Time1), and 1 day after eight intervention sessions (Time2). The following aspects were assessed: vocal intensity; acoustic parameters (Smoothed Cepstral Peak Prominence - CPPs, alpha ratio, and L1-L0 difference); auditory-perceptual analysis of the overall degree of vocal quality deviation; voice symptoms (Voice Symptom Scale protocol - VoiSS) and voice-related quality of life (Voice-Related Quality of Life Protocol - V-RQOL). The results were compared at the three times of assessment Time0/Time1/Time2 using one-way repeated measures ANOVA test and Tukey test (5% significance). intervention significantly increased: vocal intensity, L1-L0 value of vowel /a/ and counting, CPP value in counting, and decreased: the overall degree of vocal quality deviation in 78% of participants, the total score of VoiSS protocol, the limitation, and emotional subscales. In addition, the intervention increased the score of all the domains of V-RQOL protocol - physical, socio-emotional, and total. Resonance tube phonation in voice therapy was effective in increasing vocal intensity and long-term acoustic parameters, the improved overall degree of vocal quality, reducing voice symptoms, and increasing voice-related quality of life in individuals with PD."
35450735,The Acoustic Voice Quality Index (AVQI) in People with Parkinson's Disease Before and After Intensive Voice and Articulation Therapies: Secondary Outcome of a Randomized Controlled Trial.,Gemma Moya-Galé; Jennifer Spielman; Lorraine A Ramig; Luca Campanelli; Youri Maryn,Journal of voice : official journal of the Voice Foundation,2022,2024,"The majority of individuals with Parkinson's disease (PD) experience voice and speech problems during the course of the disease. Despite the importance of voice quality in communication and the documented disordered voice quality in PD, few studies have explored the effects of speech treatment on this variable. A parallel arm, unblinded randomized controlled trial (RCT) was conducted with two active comparators, LSVT LOUD (n = 23) and LSVT ARTIC (n = 20), and an inactive comparator group of untreated individuals with PD (n = 22). A group of 20 healthy adults was also included for pre-treatment analysis. Voice recordings were obtained pre-treatment, immediately post-treatment and at 6-month follow-up. The acoustic voice quality index (AVQI) is reported here as a secondary outcome measure of the RCT. Linear mixed-effects regression analysis was performed with AVQI and sound pressure level (SPL) as dependent variables. Pearson correlation coefficient analysis was also conducted to explore the relationship between voice quality and SPL. Statistically significant improvements in AVQI and SPL from pre-treatment to post-treatment and follow-up were only observed in the LSVT LOUD group. Voice quality significantly improved only from pre-treatment to follow-up in the LSVT ARTIC group, whilst significant improvements in SPL were observed during maximum phonation only immediately post-treatment. No significant changes were observed in the untreated group. This study investigated the effects of intensive speech treatment targeting voice or targeting articulation on voice quality, as measured by the AVQI, in individuals with PD. Findings indicate that voice-focused treatment leads to greater improvements in voice quality in this population."
